english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,mp3_url,topic,topic_url
access,n.,"Quyền truy cập, sự tiếp cận ",/ˈækses/,The opportunity or right to use something,I cannot easily get access to the Internet.,Tôi không thể dễ dàng có được quyền truy cập vào Internet.,https://audio.tflat.vn/data/cache/images/300x225/a/c/access1.jpg,https://audio.tflat.vn/audio/a/c/access.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
allocate,v.,"Cấp cho, phân phối",/ˈæləkeɪt/,To give something officially to somebody / something for a particular purpose,The office manager did not allocate enough money to purchase software.,Người quản lý văn phòng không cấp đủ tiền để mua sắm phần mềm.,https://audio.tflat.vn/data/cache/images/300x225/a/l/allocate1.png,https://audio.tflat.vn/audio/a/l/allocate.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
compatible,adj.,"Tương thích, hợp nhau ",/kəm'pætəbl/,Able to be used together,"Because my girlfriend and I listen to the same music artists, we have compatible tastes in music.","Vì tôi và bạn gái tôi cùng nghe nhạc của những nghệ sĩ giống nhau, nên chúng tôi hợp nhau về thị hiếu âm nhạc.",https://audio.tflat.vn/data/images_example/300x225/b/e/because_my_ex1_56248d157f8b9a040dc65e00.jpg,https://audio.tflat.vn/audio/c/o/compatible.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
delete,v.,"Xóa đi, bỏ đi",/di'li:t/,To remove something that has been written or printed,The technicians deleted all the data on the disk accidentally.,Kỹ thuật viên đã vô tình xóa mọi dữ liệu trên đĩa.,https://audio.tflat.vn/data/cache/images/300x225/d/e/delete2.jpg,https://audio.tflat.vn/audio/d/e/delete.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
display,v.,"Hiển thị, trình bày ",/dis'plei/,To put something in a place where people can see it easily,The accounting program displays a current balance when opened.,Chương trình kế toán hiển thị một con số cân bằng thu chi khi mở (chương trình đó) ra.,https://audio.tflat.vn/data/cache/images/300x225/d/i/display1.jpg,https://audio.tflat.vn/audio/d/i/display.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
duplicate,v.,"Sao lại, nhân đôi",/'dju:plikit/,To make an extract copy of something,I think the new word processing program will duplicate the success of the one introduced last year.,Tôi nghĩ rằng chương trình xử lý văn bản mới sẽ thành công gấp đôi so với chương trình được giới thiệu hồi năm ngoái.,https://audio.tflat.vn/data/cache/images/300x225/d/u/duplicate2.jpg,https://audio.tflat.vn/audio/d/u/duplicate.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
failure,n.,"Trượt, thất bại ",/'feiljə/,Lack of success in doing or achieving something,The success or failure of the plan depends on you.,Kế hoạch thành công hay thất bại là phụ thuộc vào bạn.,https://audio.tflat.vn/data/cache/images/300x225/f/a/failure1.png,https://audio.tflat.vn/audio/f/a/failure.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
figure out,v.,"Đoán ra, giải ra",/ˈfɪɡə/,To calculate an amount or the cost,"By examining all of the errors, the technicians were able to figure out how to fix the problem.","Bằng cách xem xét mọi lỗi, các kỹ thuật viên đã có thể tìm ra cách để sửa chữa các sự cố.",https://audio.tflat.vn/data/cache/images/300x225/f/i/figure_out.jpg,https://audio.tflat.vn/audio/f/i/figure_out.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
ignore,v.,"Bỏ qua, phớt lờ",/ig'nɔ:/,To pay no attention to something,He ignored all the things she said.,Anh ấy phớt lờ tất cả những gì cô ấy nói.,https://audio.tflat.vn/data/cache/images/300x225/i/g/ignore1.jpg,https://audio.tflat.vn/audio/i/g/ignore.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
search,n.,"Cuộc tìm kiếm, thăm dò",/sə:tʃ/,"An attemp to find somebody / something, especially by looking acrefully for them /it",Our search of the database produced very little information.,Việc tìm kiếm trong cơ sở dữ liệu của chúng tôi đã đem lại rất ít thông tin.,https://audio.tflat.vn/data/cache/images/300x225/s/e/search1.png,https://audio.tflat.vn/audio/s/e/search.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
